City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ahipara,36,NZ,1547267038,59,-35.17,173.16,77.47,9.75
Abu Dhabi,40,AE,1547265600,68,24.47,54.37,66.2,4.7
Saint-Georges,56,CA,1547266799,60,46.12,-70.67,4.43,9.75
Mandalgovi,0,MN,1547266846,67,45.76,106.27,7.09,13.56
Kautokeino,68,NO,1547267039,78,69.01,23.04,28.01,21.27
Pevek,0,RU,1547266741,86,69.7,170.27,-13.89,4.38
Padang,40,ID,1547263800,79,-0.92,100.36,86.0,4.7
Emba,0,CY,1547265600,70,34.81,32.42,50.0,6.93
Kristiansund,88,NO,1547265000,100,63.12,7.73,35.6,14.99
Ormond Beach,1,US,1547265300,67,29.29,-81.06,62.6,4.7
Miles City,1,US,1547265180,95,46.41,-105.84,23.0,13.87
Porto Novo,20,BR,1547265600,100,-23.68,-45.44,68.0,4.7
Kudat,75,MY,1547265600,79,6.89,116.84,84.2,6.93
Necochea,8,AR,1547267042,69,-38.55,-58.74,60.19,11.77
Auki,0,NG,1547267042,41,12.18,6.51,61.49,6.96
Nelson Bay,0,AU,1547265600,46,-32.72,152.14,91.4,12.75
La Asuncion,92,EC,1547267044,99,-1.64,-78.74,46.01,1.25
Bilibino,12,RU,1547267044,59,68.06,166.44,-20.95,2.71
Castro,90,CL,1547265600,100,-42.48,-73.76,53.6,2.24
Kakonko,68,TZ,1547267044,95,-3.28,30.97,62.35,6.62
Uri,0,IT,1547265000,86,40.64,8.49,32.0,2.24
Ponta Delgada,75,PT,1547263800,82,37.73,-25.67,59.0,13.87
Cortes,100,PH,1547267045,100,9.28,126.19,74.95,3.38
Reni,48,RO,1547263800,86,45.45,28.28,28.4,4.7
Brooks,0,CA,1547267046,74,50.57,-111.89,26.39,11.43
Kirakira,88,SB,1547267046,100,-10.46,161.92,81.83,9.64
Mount Isa,75,AU,1547265600,29,-20.73,139.49,100.4,17.22
Tlalmanalco,75,MX,1547264700,51,19.21,-98.8,60.8,8.05
Worcester,90,GB,1547265360,87,52.19,-2.22,46.4,6.93
Djambala,92,CG,1547267047,99,-2.55,14.76,68.2,9.19
Irbeyskoye,64,RU,1547267048,57,55.64,95.45,-6.37,2.93
Acari,20,BR,1547266862,76,-6.44,-36.64,72.38,8.97
Poum,56,MK,1547267048,80,41.28,20.71,12.85,1.81
Saint-Jerome,5,CA,1547265600,64,45.78,-74.0,5.0,4.7
Lethem,80,GY,1547267049,57,3.38,-59.8,82.69,13.0
Araouane,64,ML,1547266834,31,18.9,-3.53,55.28,8.75
Spiez,90,CH,1547265000,100,46.69,7.68,32.0,2.24
Fare,88,PF,1547267115,100,-16.7,-151.02,83.14,16.58
Brigantine,1,US,1547265360,49,39.41,-74.36,30.02,6.93
Osa,76,RU,1547267117,86,57.28,55.46,13.66,11.43
Fairlie,90,US,1547266020,87,33.31,-95.96,51.8,5.82
Fortuna Foothills,1,US,1547265540,71,32.66,-114.41,59.72,3.36
Ballina,92,IE,1547267119,99,54.11,-9.15,46.87,17.02
Burnie,12,AU,1547267090,85,-41.05,145.91,68.2,13.22
Hailar,8,CN,1547266868,71,49.2,119.7,5.02,5.73
Arlit,0,NE,1547267122,70,18.74,7.39,50.42,3.94
Anadyr,0,RU,1547265600,58,64.73,177.51,-5.81,11.18
Bonthe,0,SL,1547267123,85,7.53,-12.5,79.27,4.94
Tutoia,92,BR,1547267123,100,-2.76,-42.27,72.34,2.93
Sabang,80,PH,1547267124,96,13.72,123.58,77.65,12.88
Westport,92,IE,1547266840,99,53.8,-9.52,47.36,18.25
Umm Lajj,36,SA,1547267126,100,25.02,37.27,59.78,4.61
Revelstoke,36,CA,1547266560,89,50.99,-118.19,32.0,1.7
Tautira,90,PF,1547265600,74,-17.73,-149.15,84.2,14.99
Port Hawkesbury,90,CA,1547266140,78,45.62,-61.36,17.6,16.11
Portomaggiore,0,IT,1547265000,68,44.7,11.8,30.2,9.17
Lakes Entrance,8,AU,1547267129,47,-37.88,147.99,86.06,8.86
Wladyslawowo,0,PL,1547265600,86,54.79,18.4,30.2,9.17
Great Falls,1,US,1547265480,66,47.5,-111.29,33.98,4.7
Bolobo,64,CD,1547267130,100,-2.17,16.23,71.71,4.61
Dongargaon,0,IN,1547267132,80,21.56,74.53,55.69,2.59
Quevedo,92,EC,1547267132,100,-1.02,-79.47,60.55,2.04
Itaituba,64,BR,1547267133,100,-4.26,-55.99,69.86,2.04
Bambanglipuro,0,ID,1547267134,83,-7.95,110.28,84.49,4.38
Coquimbo,0,CL,1547265600,87,-29.95,-71.34,59.0,3.36
Morros,92,BR,1547267135,99,-2.87,-44.04,70.31,2.37
Atarra,0,IN,1547267136,85,25.28,80.57,52.36,2.82
Marathon,48,CA,1547267137,100,48.72,-86.38,10.24,10.65
Sinop,76,TR,1547267138,100,42.03,35.15,44.89,14.23
Channel-Port aux Basques,80,CA,1547267050,100,47.57,-59.14,29.99,24.29
Hue,40,VN,1547265600,74,16.47,107.58,80.6,4.7
Hirara,75,JP,1547265600,83,24.8,125.28,71.6,11.41
Seymchan,32,RU,1547267145,86,62.93,152.39,-20.55,2.71
Kpandu,0,GH,1547267146,76,7.0,0.29,75.26,3.94
San-Pedro,0,CI,1547267136,99,4.75,-6.64,74.63,3.6
San Rafael,0,AR,1547266905,51,-34.61,-68.33,61.0,3.27
South Venice,75,US,1547266500,82,27.05,-82.42,60.98,8.05
Alenquer,40,BR,1547265600,100,-1.95,-54.74,73.4,9.17
Kamaishi,40,JP,1547265600,44,39.28,141.86,41.0,10.29
Cali,20,CO,1547265600,82,3.43,-76.51,68.0,5.82
Louga,0,SN,1547262000,82,15.62,-16.22,60.8,4.7
Mikkeli,0,FI,1547265000,92,61.69,27.27,26.6,8.05
Manono,76,CD,1547267153,93,-7.3,27.4,71.89,2.59
Marondera,76,ZW,1547267153,98,-18.19,31.55,63.47,1.03
Havelock,1,US,1547265480,78,34.88,-76.9,35.96,4.7
Newton,90,US,1547266500,86,41.7,-93.05,30.92,9.17
Preobrazheniye,0,RU,1547267155,38,42.9,133.91,26.89,2.71
Muros,0,ES,1547265600,80,42.77,-9.06,39.2,5.82
Lata,0,IN,1547267155,88,30.78,78.62,27.16,2.15
Emerald,0,AU,1547265600,28,-23.53,148.16,93.2,11.41
Maniitsoq,0,GL,1547267157,100,65.42,-52.9,6.23,9.19
Nador,0,MA,1547265600,70,35.17,-2.93,46.4,2.24
Bol,0,TD,1547267158,49,13.47,14.72,57.89,5.73
Yenagoa,8,NG,1547267159,94,4.92,6.26,74.32,5.28
Rocha,80,UY,1547267129,77,-34.48,-54.34,60.19,5.73
Letlhakane,8,BW,1547267161,86,-21.42,25.59,69.19,6.17
Aras,0,YE,1547267162,68,14.28,44.38,30.4,3.38
Yeppoon,0,AU,1547265600,51,-23.13,150.74,86.0,11.41
Shahrud,0,IR,1547267163,67,36.42,54.97,8.57,2.48
Fayetteville,90,US,1547266440,85,36.06,-94.16,37.04,12.75
Flin Flon,48,CA,1547267165,77,54.77,-101.88,2.27,6.51
Labytnangi,80,RU,1547267166,73,66.66,66.39,-16.81,9.64
Bicas,64,BR,1547267167,69,-21.72,-43.06,74.77,8.75
Nouadhibou,0,MR,1547267160,82,20.93,-17.03,57.22,6.73
Kimbe,24,PG,1547267168,97,-5.56,150.15,84.08,5.39
Tsiroanomandidy,76,MG,1547267168,95,-18.77,46.05,64.06,2.82
Lyngseidet,75,NO,1547261400,100,69.58,20.21,32.0,24.16
Liverpool,75,GB,1547265000,87,53.41,-2.98,48.2,14.99
Boguchar,88,RU,1547267170,97,49.93,40.55,33.68,11.65
Mitsamiouli,75,KM,1547262000,69,-11.38,43.28,82.4,3.36
Dalvik,8,SE,1547265000,79,57.79,14.13,26.6,3.36
Port Moresby,40,PG,1547262000,62,-9.47,147.16,89.6,11.41
Vila Velha,40,BR,1547265600,83,-3.71,-38.6,80.6,3.36
Chiredzi,20,ZW,1547267174,89,-21.05,31.67,75.49,3.6
Urusha,76,RU,1547267174,63,54.05,122.9,-8.67,2.71
Hobyo,76,SO,1547267046,81,5.35,48.53,76.12,18.7
Villa Carlos Paz,40,AR,1547265600,93,-31.42,-64.5,64.4,3.36
Turkan,68,AF,1547267176,89,35.6,68.92,9.61,1.14
Peace River,40,CA,1547265600,85,56.23,-117.29,17.6,10.29
Dublin,75,IE,1547265600,93,53.35,-6.26,48.2,19.46
